dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness
FiftyWords,0.25,10,5,0.5,0.643956043956044,0.5815510073685609
MoteStrain,0.25,0,5,0.25,0.7907348242811502,0.24113328313253013
ECGFiveDays,0.25,10,5,0.75,0.49709639953542395,0.0
Haptics,0.25,10,5,0.25,0.41883116883116883,0.3735885390961009
CricketX,0.25,10,5,0.25,0.7102564102564103,0.4848204331899983
Lightning2,0.25,10,5,0.5,0.5409836065573771,0.0
ChlorineConcentration,0.25,10,5,0.75,0.5325520833333334,3.1565656565656566e-06
SonyAIBORobotSurface2,0.25,10,5,0.5,0.8667366211962224,0.2839489674707602
OliveOil,0.25,10,5,0.5,0.4,0.0
SonyAIBORobotSurface2,0.25,10,5,0.75,0.8803777544596013,0.30762318393640353
TwoPatterns,0.25,10,5,0.25,0.57175,0.5378976065491813
CricketY,0.25,10,5,0.5,0.676923076923077,0.5495923913043478
TwoPatterns,0.25,10,5,0.75,0.25875,9.764404449443819e-06
Beef,0.25,10,5,0.75,0.2,0.0
SyntheticControl,0.25,10,5,0.25,0.88,0.32723902157164864
UWaveGestureLibraryY,0.25,10,5,0.25,0.6267448352875489,0.576796899077974
FaceFour,0.25,0,5,0.25,0.9090909090909091,1.0
Beef,0.25,10,5,0.5,0.2,0.0
Mallat,0.25,10,5,0.25,0.5970149253731343,0.3313455870128766
Symbols,0.25,10,5,0.25,0.8321608040201005,0.28043065738575024
CBF,0.25,10,5,0.25,0.7566666666666667,0.2142634514435696
SonyAIBORobotSurface2,0.25,10,5,0.25,0.8467995802728226,0.26210594846491225
MoteStrain,0.25,10,5,0.25,0.810702875399361,0.262626547858099
Trace,0.25,10,5,0.75,0.72,0.23199893552311435
SonyAIBORobotSurface1,0.25,0,5,0.25,0.8602329450915142,0.13786865942028986
Yoga,0.25,10,5,0.75,0.5356666666666666,1.5644555694618272e-06
SyntheticControl,0.25,10,5,0.5,0.89,0.33510689522342063
SonyAIBORobotSurface2,0.25,0,5,0.25,0.8394543546694648,0.2298239903143275
Mallat,0.25,10,5,0.5,0.6119402985074627,0.3460732039975746
CBF,0.25,10,5,0.5,0.7933333333333333,0.24613681102362203
OSULeaf,0.25,10,5,0.5,0.6115702479338843,0.46389121185446003
CinCECGTorso,0.25,10,5,0.5,0.5804347826086956,0.44888281086197757
TwoLeadECG,0.25,0,5,0.25,0.4995610184372256,0.0
SonyAIBORobotSurface2,0.25,0,5,0.25,0.8394543546694648,0.2298239903143275
UWaveGestureLibraryY,0.25,10,5,0.75,0.6024567280848688,0.5551276682981596
Fish,0.25,10,5,0.5,0.9028571428571428,0.5031239446133063
SyntheticControl,0.5,10,5,0.25,0.94,0.40452137904468416
ECG200,0.25,10,5,0.5,0.64,0.0009320175438596492
GunPoint,0.25,10,5,0.25,0.5066666666666667,0.0
Trace,0.25,10,5,0.25,0.72,0.21437804136253044
WordSynonyms,0.25,10,5,0.75,0.5924764890282131,1.0
FaceFour,0.25,10,5,0.25,0.5340909090909091,0.17224808978032474
MoteStrain,0.25,10,5,0.25,0.810702875399361,0.262626547858099
FaceFour,0.25,10,5,0.5,0.6590909090909091,0.20646042263610315
CricketX,0.25,10,5,0.5,0.7230769230769231,0.5086847029781812
ECG200,0.25,10,5,0.75,0.64,0.0
SonyAIBORobotSurface1,0.25,10,5,0.5,0.8935108153078203,0.15097916666666666
SonyAIBORobotSurface1,0.25,10,5,0.75,0.8985024958402662,0.17886684782608694
UWaveGestureLibraryX,0.25,10,5,0.5,0.7763819095477387,1.0
MoteStrain,0.25,10,5,0.75,0.46086261980830673,0.0
Lightning7,0.25,10,5,0.25,0.821917808219178,0.7078638190076869
SwedishLeaf,0.25,10,5,0.75,0.9056,1.0
OliveOil,0.25,10,5,0.75,0.4,0.0
ItalyPowerDemand,0.25,0,5,0.25,0.49854227405247814,0.00011988491048593351
UWaveGestureLibraryZ,0.25,10,5,0.25,0.6931881630374093,0.5804736057247791
CricketY,0.25,10,5,0.25,0.7153846153846154,1.0
Wafer,0.5,10,5,0.25,0.9914016872160935,0.20213908991602378
OliveOil,0.25,10,5,0.25,0.4,0.0
ItalyPowerDemand,0.25,10,5,0.25,0.5014577259475219,0.00011988491048593351
FaceAll,0.25,10,5,0.75,0.8710059171597633,0.3842061828840675
SwedishLeaf,0.25,10,5,0.25,0.936,1.0
Yoga,0.25,10,5,0.5,0.5353333333333333,7.934024673699267e-06
