dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
ECG200,0.87,1.0,0.82,0.53768426
OliveOil,0.16666666666666666,0.97293496,0.26666666666666666,1.0
UWaveGestureLibraryX,0.7761027359017308,0.99065655,0.7794528196538246,0.79950887
ChlorineConcentration,0.5549479166666667,0.9973516,0.5541666666666667,0.46401197
Lightning7,0.6712328767123288,0.9999998999999999,0.136986301369863,0.0
OSULeaf,0.6115702479338843,0.9920071,0.7024793388429752,1.0
SonyAIBORobotSurface1,0.6888519134775375,0.9940679,0.8302828618968386,0.47283509999999995
Haptics,0.48701298701298706,0.9874624,0.4025974025974026,0.60695535
TwoLeadECG,0.9517120280948199,0.99924123,0.9473222124670764,0.5627419
FacesUCR,0.8424390243902439,0.99579364,0.8785365853658537,1.0
Yoga,0.7426666666666667,0.9941984,0.7786666666666666,0.59036463
TwoPatterns,0.94675,0.99711615,0.99975,1.0
Fish,0.8,0.9907607,0.8685714285714285,0.6788496999999999
Trace,0.88,1.0,0.75,0.44879568
InlineSkate,0.2581818181818182,0.9823189,0.25636363636363635,0.55505675
FaceAll,0.8644970414201183,0.9012015999999999,0.9207100591715977,0.32818392
ECGFiveDays,1.0,0.99405515,0.9918699186991871,0.1976427
CricketZ,0.7,0.8401081,0.6615384615384615,0.40156929999999996
FiftyWords,0.7186813186813187,0.3734548,0.7362637362637363,0.4307856
MedicalImages,0.7210526315789474,0.3295784,0.7381578947368421,0.45046994
DiatomSizeReduction,0.7385620915032679,0.95640486,0.9836601307189542,0.36539558
