dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.8427480916030534,0.98149997,0.8656488549618321,0.3952745
SyntheticControl,0.96,1.0,0.9066666666666666,0.44954804
Wafer,0.9977287475665152,0.9955703000000001,0.9755029201817002,0.30524063
Adiac,0.2122762148337596,0.99355495,0.2327365728900256,0.4773401
Symbols,0.8703517587939699,0.9893218,0.8281407035175881,0.4329481
CricketY,0.6692307692307692,0.99166447,0.7,0.55599856
NonInvasiveFatalECGThorax2,0.8646310432569975,0.97889096,0.8895674300254452,0.48351154
Beef,0.6,1.0,0.6333333333333333,1.0
CricketX,0.7461538461538462,0.9966040999999999,0.7051282051282052,0.5671984
SonyAIBORobotSurface2,0.869884575026233,0.9980161,0.8279118572927597,0.3329125
FaceFour,0.9090909090909092,1.0,0.8409090909090909,1.0
ItalyPowerDemand,0.9154518950437318,1.0,0.6822157434402333,0.5436261
WordSynonyms,0.4811912225705329,0.99773335,0.5689655172413793,1.0
GunPoint,0.8533333333333334,1.0,0.94,0.5290826999999999
MoteStrain,0.8402555910543131,0.9980271999999999,0.8618210862619808,0.9999998999999999
UWaveGestureLibraryY,0.6619207146845337,0.99344385,0.6499162479061976,0.6951121
Lightning2,0.8032786885245902,0.9751263000000001,0.7540983606557377,0.45388702
Mallat,0.6601279317697228,0.9790003,0.5855010660980811,0.44436842
CinCECGTorso,0.7195652173913043,0.95111173,0.6572463768115943,0.49336857
SwedishLeaf,0.8832,0.99457014,0.8784,0.57644093
Coffee,0.5357142857142857,1.0,0.4642857142857143,0.0
CBF,0.8722222222222222,0.9959142,0.8655555555555555,0.44444445
UWaveGestureLibraryZ,0.707426018983808,0.99486196,0.7155220547180347,0.6740363
StarLightCurves,0.948761534725595,0.97092265,0.8665614375910636,0.32061008
ECG200,0.86,1.0,0.84,0.41105267
OliveOil,0.16666666666666666,0.96531934,0.4,0.0
UWaveGestureLibraryX,0.7872696817420436,0.9933185,0.7607481853713008,0.6211293999999999
ChlorineConcentration,0.56171875,0.9973516,0.5526041666666667,0.29105583
Lightning7,0.5068493150684932,0.9999998999999999,0.6027397260273972,0.9999998999999999
OSULeaf,0.6157024793388429,0.9888158000000001,0.6115702479338843,0.69296354
SonyAIBORobotSurface1,0.632279534109817,0.9986978999999999,0.8718801996672213,0.22358869
Haptics,0.4642857142857143,0.9636309999999999,0.37662337662337664,0.505315
TwoLeadECG,0.968393327480246,0.99839586,0.9095697980684812,0.58281577
FacesUCR,0.8502439024390244,0.99797,0.8204878048780487,0.5288593
Yoga,0.763,0.99322575,0.7506666666666667,0.42583525
TwoPatterns,0.904,0.99809057,0.69225,0.62062997
Fish,0.76,0.9884478000000001,0.8342857142857143,0.57405066
Trace,0.8,1.0,0.7,0.38518247
InlineSkate,0.2672727272727273,0.9561915999999999,0.2145454545454545,0.332937
FaceAll,0.9065088757396451,0.8919481,0.9183431952662722,0.23886664
ECGFiveDays,1.0,0.9946401,0.9686411149825784,0.12097045
CricketZ,0.7025641025641025,0.39140722,0.7358974358974358,0.43673779999999995
FiftyWords,0.7032967032967034,0.42679846,0.7186813186813187,0.37923115
MedicalImages,0.725,0.4394871,0.7078947368421052,0.38368687
DiatomSizeReduction,0.7287581699346405,0.9029771999999999,0.9705882352941176,0.16413967
