dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.7908396946564885,0.97873133,0.8208651399491094,0.39720747
SyntheticControl,0.9466666666666668,1.0,0.8866666666666667,0.45129943
Wafer,0.995619727449708,0.99772984,0.968364698247891,0.30648908
Adiac,0.22250639386189255,0.9987286,0.3248081841432225,0.39003292
Symbols,0.878391959798995,0.99820757,0.8311557788944723,0.52534205
CricketY,0.6794871794871795,0.98890316,0.7487179487179487,0.62955153
NonInvasiveFatalECGThorax2,0.870737913486005,0.9874185999999999,0.8636132315521629,0.34114429999999996
Beef,0.6333333333333333,1.0,0.36666666666666653,0.28443497
CricketX,0.7410256410256411,0.99307096,0.6743589743589744,0.50185233
SonyAIBORobotSurface2,0.869884575026233,0.9977866,0.8247639034627492,0.3821157
FaceFour,0.8522727272727273,1.0,0.6022727272727273,0.1737106
ItalyPowerDemand,0.8367346938775511,0.99919724,0.6909620991253644,0.57197785
WordSynonyms,0.5078369905956113,0.9952628000000001,0.21943573667711605,0.0
GunPoint,0.8733333333333333,1.0,0.8666666666666667,0.48894855
MoteStrain,0.7715654952076677,0.99795014,0.8450479233226837,0.9999998999999999
UWaveGestureLibraryY,0.6647124511446121,0.9955519,0.5979899497487438,0.54773873
Lightning2,0.819672131147541,0.97775537,0.7049180327868853,0.41733685
Mallat,0.5965884861407249,0.9799607,0.5466950959488273,0.4940622
CinCECGTorso,0.7021739130434783,0.9696834000000001,0.5318840579710145,0.31722808
SwedishLeaf,0.8768,0.9987905,0.8432,0.47969764
Coffee,0.5,1.0,0.5357142857142857,0.0
CBF,0.9111111111111112,0.99972004,0.7355555555555555,0.33266840000000003
UWaveGestureLibraryZ,0.7236180904522613,0.9942529,0.6635957565605807,0.5703731
StarLightCurves,0.9245993200582808,0.98158836,0.9000728508984944,0.3407677
ECG200,0.86,1.0,0.87,0.4111579000000001
OliveOil,0.16666666666666666,0.9792033000000001,0.4,0.0
UWaveGestureLibraryX,0.7406476828587382,0.9881263000000001,0.7032384142936907,0.50638986
ChlorineConcentration,0.5559895833333334,0.9952051,0.5513020833333333,0.27583647
Lightning7,0.6027397260273972,0.9999998999999999,0.0958904109589041,0.0
OSULeaf,0.6900826446280992,0.9954216,0.5661157024793388,0.5140166
SonyAIBORobotSurface1,0.6039933444259568,1.0,0.8552412645590682,0.17176685
Haptics,0.43506493506493504,0.9856113999999999,0.4123376623376624,0.4381004
TwoLeadECG,0.935908691834943,0.9972469,0.884108867427568,0.5661560999999999
FacesUCR,0.8482926829268292,0.9961126,0.7560975609756098,0.4734897
Yoga,0.7826666666666666,0.9952242,0.7656666666666667,0.41159767
TwoPatterns,0.86225,0.99878734,0.60425,0.5795295
Fish,0.8742857142857143,0.9914162000000001,0.7371428571428571,0.50875694
Trace,0.92,0.99197084,0.75,0.46043795
InlineSkate,0.21818181818181814,0.96694213,0.2018181818181818,0.36113379999999995
FaceAll,0.8887573964497042,0.9055120999999999,0.9402366863905326,0.28829315
ECGFiveDays,1.0,0.99428743,0.994192799070848,0.15965071
CricketZ,0.6153846153846154,0.09891089,0.7102564102564103,0.35607582
FiftyWords,0.7164835164835165,0.39967316,0.7406593406593407,0.3676212
MedicalImages,0.7276315789473684,0.319334,0.7184210526315791,0.36037862
DiatomSizeReduction,0.7614379084967321,0.92397213,0.9673202614379084,0.22004674
